"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Test for refresh transfer","0","0","Test for refresh transfer from home refresh and then check the status to success after mine the transaction","0"
"1","","0","Set RGB proxy URL","0","0","Setting an invalid RGB proxy url for the wallet","0"
"0","","0","Issue rgb25 asset with sufficient sats and utxo","1","0","Issue rgb25 asset with sufficient sats and utxo which will create asset","0"
"0","","0","","1","0","Tests for copy buttons for bitcoind port info","0"
"1","","0","","0","0","Issuing RGB20 asset","0"
"1","","0","Channel send and receive for RGB20 asset","0","0","Send and receive with correct invoice for RGB20 asset","0"
"2","","0","Set default expiry time","1","0","Sets default expiry time For lightning invoice","0"
"0","","0","","1","0","Tests for copy buttons for indexer info","0"
"0","","0","Fail transfer feature","1","0","Test for fail transfer","0"
"0","","0","Issue rgb20 asset without sufficient sats","1","0","Issue rgb20 asset without sufficient sats which will produce error toaster","0"
"1","","0","Iris wallet receive and send operation automation for bitcoin","0","0","Wallet receive and send operation automation for bitcoin","0"
"2","","0","","0","0","Sending RGB20 asset","0"
"0","","0","","1","0","Tests for copy buttons for announce alias info","0"
"0","","0","","1","0","Tests for copy buttons for bitcoind host info","0"
"1","","0","Set a Bitcoind Port","0","0","Setting an invalid bitcoind port for the wallet","0"
"1","","0","Ask authorization for important operations","0","0","Toggling on ask authorization for import operations","0"
"1","","0","Ask authorization for important operations","0","0","Toggling off ask authorization for import operations","0"
"1","","0","Create wrong ln invoice","0","0","Create wrong ln invoice with insufficient amount","0"
"1","","0","Create channel","0","0","Create channel with wrong node URI","0"
"1","","0","Backup page","0","0","Backup page functionality","0"
"1","","0","","0","0","Issuing and sending the RGB assets","0"
"1","","0","Set a bitcoind host","0","0","Setting an invalid bitcoind host for the wallet","0"
"0","","0","Keyring","1","0","Keyring Dialog","0"
"0","","1","Keyring","0","0","Keyring option","0"
"0","","0","Issue rgb25 asset without sufficient sats","1","0","Issue rgb25 asset without sufficient sats which will produce error toaster","0"
"1","","0","Login app","0","0","Test login app with authentication","0"
"0","","0","","1","0","Tests for copy buttons for RGB proxy info","0"
"0","","0","About page tests","1","0","Tests for download debug log","0"
"1","","0","Set indexer URL","0","0","Setting an indexer url for the wallet","0"
"1","","0","Hide exhausted asset","0","0","Toggling on hide exhausted asset","0"
"1","","0","Iris wallet send operation with zero balance","0","0","Wallet send operation with zero balance which will give error label","0"
"0","","0","Issue rgb20 asset with sufficient sats","1","0","Issue rgb20 asset with sufficient sats which will create asset","0"
"1","","0","Iris wallet send operation with custom fee rate","0","0","Wallet send operation with custom fee rate","0"
"2","","0","","0","0","Issuing RGB25 asset","0"
"0","","0","Issue rgb20 asset with sufficient sats and no utxo","1","0","Issue rgb20 asset with sufficient sats which will create utxo and create asset","0"
"0","","0","Set default fee rate","1","0","Sets default fee rate for sending assets","0"
"1","","0","Restore page","0","0","Restore page functionality","0"
"1","","0","Login app","0","0","Test login app toggle button","0"
"0","","1","Hide exhausted asset","0","0","Toggling off hide exhausted asset","0"
"1","","0","Set default minimum confirmation","0","0","Sets default minimum confirmation For sending assets","0"
"1","","0","Set indexer URL","0","0","Setting an invalid indexer url for the wallet","0"
"2","","0","","0","0","Sending RGB25 asset","0"
"1","","0","Set announce alias","0","0","Setting an announce alias for this","0"
"0","","0","Issue rgb25 asset with sufficient sats but no utxo","1","0","Issue rgb25 asset with sufficient sats and no utxo which will first create utxo and then create asset","0"
"0","","0","About page tests","1","0","Tests for copy buttons for node info","0"
"1","","0","Channel creation for BTC","0","0","Send and receive with correct invoice for BTC","0"
"1","","0","Set announce address","0","0","Setting an announce address for this","0"
"1","","0","Automation of send operation for RGB25 asset in iris wallet","0","0","Testing send RGB25 asset with expired invoice","0"
"1","","0","Automation of receive, send, and transaction status for RGB20 asset in iris wallet","0","0","End-to-End testing of receiving, sending, and verifying transaction status for RGB20 asset","0"
"0","","0","","1","0","Tests for copy buttons for announce address info","0"
"1","","0","Create channel for embedded","0","0","Create channel with actual value and then close it for embedded","0"
"0","","0","Help page test","1","0","Tests for elements in help page","0"
"1","","0","Automation of receive, send, and transaction status for RGB25 asset in iris wallet","0","0","End-to-End testing of receiving, sending, and verifying transaction status for RGB25 asset","0"
"1","","0","Set RGB proxy URL","0","0","Setting a RGB proxy url for the wallet","0"
"0","","0","Mnemonic and backup configuration","1","0","Mnemonic and backup configuration functionality","0"
"1","","0","Automation of send operation for RGB20 asset in iris wallet","0","0","Testing send RGB20 asset with expired invoice","0"
"1","","0","View unspent list","0","0","Verify outpoint in unspent list","0"
"1","","0","Iris wallet send operation with invalid invoice","0","0","Wallet send operation with invalid invoice","0"
