"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test for refresh transfer","0","test_refresh_transfer","test.spec","Fri Nov 21 11:48:08 UTC 2025","broken","Fri Nov 21 11:48:08 UTC 2025","","test_refresh_transfer","",""
"Test setting an invalid RGB proxy URL

    Tests that when a user:
    1. Navigates to settings
    2. Attempts to set an invalid RGB proxy URL
    3. The system shows appropriate error message
    ","30622","test_set_invalid_rgb_proxy_url[False]","test.spec","Fri Nov 21 11:31:21 UTC 2025","broken","Fri Nov 21 11:31:51 UTC 2025","","test_settings","",""
"
    Test issuing rgb25 asset with sufficient sats and utxo.
    ","27948","test_issue_rgb25_with_sufficient_sats_and_utxo[False]","test.spec","Fri Nov 21 11:46:57 UTC 2025","passed","Fri Nov 21 11:47:25 UTC 2025","","test_issue_rgb25_asset","",""
"Test asserting bitcoind port info","1464","test_bitcoind_port_info[False]","test.spec","Fri Nov 21 11:32:42 UTC 2025","passed","Fri Nov 21 11:32:44 UTC 2025","","test_about","",""
"Issuing RGB20 asset with ask auth for important operations off","30420","test_ask_auth_for_imp_question_issue_rgb_20_off","test.spec","Fri Nov 21 11:36:41 UTC 2025","broken","Fri Nov 21 11:37:11 UTC 2025","","test_ask_auth_for_imp_operations","",""
"Test sending and receiving with correct invoice for RGB20","0","test_send_and_receive_with_correct_invoice_for_rgb20","test.spec","Fri Nov 21 11:48:08 UTC 2025","broken","Fri Nov 21 11:48:08 UTC 2025","","test_rgb20_channel_tx","",""
"
    Test setting a default expiry time in hours for lightning invoices.

    Tests that a user can:
    1. Navigate to settings
    2. Set a new default expiry time in hours
    3. Verify the expiry time is saved and applied
    ","57952","test_default_expiry_time_hour[False]","test.spec","Fri Nov 21 11:26:16 UTC 2025","broken","Fri Nov 21 11:27:14 UTC 2025","","test_settings","",""
"Test asserting indexer info","1481","test_indexer_info[False]","test.spec","Fri Nov 21 11:32:44 UTC 2025","passed","Fri Nov 21 11:32:45 UTC 2025","","test_about","",""
"Test for fail transfer","43164","test_fail_transfer[False]","test.spec","Fri Nov 21 11:42:23 UTC 2025","passed","Fri Nov 21 11:43:07 UTC 2025","","test_fail_transfer","",""
"
    Test setting a default expiry time in days for lightning invoices.

    Tests that a user can:
    1. Navigate to settings
    2. Set a new default expiry time in days
    3. Verify the expiry time is saved and applied
    ","30804","test_default_expiry_time_days[False]","test.spec","Fri Nov 21 11:27:14 UTC 2025","broken","Fri Nov 21 11:27:45 UTC 2025","","test_settings","",""
