"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"test native auth for important operations (send btc) off","30564","test_ask_auth_for_imp_question_send_bitcoin_off","test.spec","Fri Nov 21 14:52:05 UTC 2025","broken","Fri Nov 21 14:52:36 UTC 2025","","test_ask_auth_for_imp_operations","",""
"Sending RGB25 asset with ask auth for important operations on","30365","test_ask_auth_for_imp_question_send_rgb_25_on","test.spec","Fri Nov 21 14:51:35 UTC 2025","broken","Fri Nov 21 14:52:05 UTC 2025","","test_ask_auth_for_imp_operations","",""
"Issuing RGB20 asset with ask auth for important operations off","30062","test_ask_auth_for_imp_question_issue_rgb_25_off","test.spec","Fri Nov 21 14:53:37 UTC 2025","broken","Fri Nov 21 14:54:07 UTC 2025","","test_ask_auth_for_imp_operations","",""
"Issuing RGB20 asset with ask auth for important operations off","30134","test_ask_auth_for_imp_question_issue_rgb_20_off","test.spec","Fri Nov 21 14:52:36 UTC 2025","broken","Fri Nov 21 14:53:06 UTC 2025","","test_ask_auth_for_imp_operations","",""
"Sending RGB20 asset with ask auth for important operations off","30316","test_ask_auth_for_imp_question_send_rgb_20_off","test.spec","Fri Nov 21 14:53:06 UTC 2025","broken","Fri Nov 21 14:53:37 UTC 2025","","test_ask_auth_for_imp_operations","",""
"Sending RGB25 asset with ask auth for important operations off","30347","test_ask_auth_for_imp_question_send_rgb_25_off","test.spec","Fri Nov 21 14:54:07 UTC 2025","broken","Fri Nov 21 14:54:37 UTC 2025","","test_ask_auth_for_imp_operations","",""
"Sending RGB20 asset with ask auth for important operations on","30341","test_ask_auth_for_imp_question_send_rgb20_on","test.spec","Fri Nov 21 14:50:33 UTC 2025","broken","Fri Nov 21 14:51:04 UTC 2025","","test_ask_auth_for_imp_operations","",""
"Test for hiding exhausted asset","70095","test_ask_auth_for_imp_question_send_bitcoin_on","test.spec","Fri Nov 21 14:49:16 UTC 2025","broken","Fri Nov 21 14:50:26 UTC 2025","","test_ask_auth_for_imp_operations","",""
"Issuing RGB25 asset with ask auth for important operations on","30567","test_ask_auth_for_imp_question_issue_rgb_25_on","test.spec","Fri Nov 21 14:51:04 UTC 2025","broken","Fri Nov 21 14:51:35 UTC 2025","","test_ask_auth_for_imp_operations","",""
"Issuing RGB 20 asset with ask auth for important operations on","7109","test_ask_auth_for_imp_question_issue_rgb_20_on","test.spec","Fri Nov 21 14:50:26 UTC 2025","broken","Fri Nov 21 14:50:33 UTC 2025","","test_ask_auth_for_imp_operations","",""
